epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.881,0.61552,3.39388,1.22443,0.01096,0.5,0.04483,0.02915,0.28665,3.85956,0.94072,6.25e-05,6.25e-05,6.25e-05
2,391.318,0.58746,1.77172,1.14914,0.79228,0.93389,0.995,0.90461,0.45678,1.84227,0.91137,0.000110275,0.000110275,0.000110275
3,518.1,0.59075,0.66006,1.06153,0.77959,1,0.995,0.96366,0.27146,1.42488,0.81384,0.00012835,0.00012835,0.00012835
4,636.507,0.50042,0.53232,1.03543,0.98054,1,0.995,0.96078,0.30224,0.4347,0.83901,0.000116725,0.000116725,0.000116725
5,756.669,0.45322,0.48669,1.01271,0.95185,1,0.995,0.97308,0.26236,0.39301,0.81757,7.54e-05,7.54e-05,7.54e-05
